Comunidades y Ciudades Autónomas	Actividad principal	Estrato de asalariados	Periodo	Total
09 Cataluña	799 Otros servicios de reservas y actividades relacionadas con los mismos	Total	2019	923
09 Cataluña	649 Otros servicios financieros, excepto seguros y fondos de pensiones	Total	2019	285
09 Cataluña	96 Otros servicios personales	Total	2019	22.155
09 Cataluña	960 Otros servicios personales	Total	2019	22.155
09 Cataluña	131 Preparación e hilado de fibras textiles	Total	2019	153
09 Cataluña	151 Preparación, curtido y acabado del cuero; fabricación de artículos de marroquinería, viaje y de guarnicionería y talabartería; preparación y teñido de pieles	Total	2019	175
09 Cataluña	101 Procesado y conservación de carne y elaboración de productos cárnicos	Total	2019	584
09 Cataluña	103 Procesado y conservación de frutas y hortalizas	Total	2019	117
09 Cataluña	102 Procesado y conservación de pescados, crustáceos y moluscos	Total	2019	58
09 Cataluña	631 Proceso de datos, hosting y actividades relacionadas; portales web	Total	2019	852
09 Cataluña	352 Producción de gas; distribución por tubería de combustibles gaseosos	Total	2019	10
09 Cataluña	244 Producción de metales preciosos y de otros metales no férreos	Total	2019	58
09 Cataluña	351 Producción, transporte y distribución de energía eléctrica	Total	2019	986
09 Cataluña	62 Programación, consultoría y otras actividades relacionadas con la informática	Total	2019	9.126
09 Cataluña	620 Programación, consultoría y otras actividades relacionadas con la informática	Total	2019	9.126
09 Cataluña	411 Promoción inmobiliaria	Total	2019	13.521
09 Cataluña	562 Provisión de comidas preparadas para eventos y otros servicios de comidas	Total	2019	2.764
09 Cataluña	731 Publicidad	Total	2019	9.300
09 Cataluña	73 Publicidad y estudios de mercado	Total	2019	10.106
09 Cataluña	652 Reaseguros	Total	2019	3
09 Cataluña	381 Recogida de residuos	Total	2019	294
09 Cataluña	37 Recogida y tratamiento de aguas residuales	Total	2019	119
09 Cataluña	370 Recogida y tratamiento de aguas residuales	Total	2019	119
09 Cataluña	38 Recogida, tratamiento y eliminación de residuos; valorización	Total	2019	447
09 Cataluña	192 Refino de petróleo	Total	2019	1
09 Cataluña	952 Reparación de efectos personales y artículos de uso doméstico	Total	2019	3.090
09 Cataluña	951 Reparación de ordenadores y equipos de comunicación	Total	2019	1.814
09 Cataluña	95 Reparación de ordenadores, efectos personales y artículos de uso doméstico	Total	2019	4.904
09 Cataluña	331 Reparación de productos metálicos, maquinaria y equipo	Total	2019	3.030
09 Cataluña	33 Reparación e instalación de maquinaria y equipo	Total	2019	3.224
09 Cataluña	182 Reproducción de soportes grabados	Total	2019	297
09 Cataluña	561 Restaurantes y puestos de comidas	Total	2019	13.500
09 Cataluña	651 Seguros	Total	2019	166
09 Cataluña	65 Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria	Total	2019	170
09 Cataluña	81 Servicios a edificios y actividades de jardinería	Total	2019	7.787
09 Cataluña	55 Servicios de alojamiento	Total	2019	4.384
09 Cataluña	56 Servicios de comidas y bebidas	Total	2019	39.586
09 Cataluña	63 Servicios de información	Total	2019	1.030
09 Cataluña	802 Servicios de sistemas de seguridad	Total	2019	71
09 Cataluña	64 Servicios financieros, excepto seguros y fondos de pensiones	Total	2019	525
09 Cataluña	811 Servicios integrales a edificios e instalaciones	Total	2019	182
09 Cataluña	711 Servicios técnicos de arquitectura e ingeniería y otras actividades relacionadas con el asesoramiento técnico	Total	2019	18.181
09 Cataluña	71 Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos	Total	2019	21.418
09 Cataluña	35 Suministro de energía eléctrica, gas, vapor y aire acondicionado	Total	2019	1.024
09 Cataluña	353 Suministro de vapor y aire acondicionado	Total	2019	28
09 Cataluña	61 Telecomunicaciones	Total	2019	968
09 Cataluña	612 Telecomunicaciones inalámbricas	Total	2019	125
09 Cataluña	611 Telecomunicaciones por cable	Total	2019	183
09 Cataluña	613 Telecomunicaciones por satélite	Total	2019	18
09 Cataluña	51 Transporte aéreo	Total	2019	46
09 Cataluña	512 Transporte aéreo de mercancías y transporte espacial	Total	2019	8
09 Cataluña	511 Transporte aéreo de pasajeros	Total	2019	38
09 Cataluña	494 Transporte de mercancías por carretera y servicios de mudanza	Total	2019	20.285
09 Cataluña	492 Transporte de mercancías por ferrocarril	Total	2019	6
09 Cataluña	504 Transporte de mercancías por vías navegables interiores	Total	2019	2
09 Cataluña	503 Transporte de pasajeros por vías navegables interiores	Total	2019	4
09 Cataluña	491 Transporte interurbano de pasajeros por ferrocarril	Total	2019	1
09 Cataluña	502 Transporte marítimo de mercancías	Total	2019	9
09 Cataluña	501 Transporte marítimo de pasajeros	Total	2019	81
09 Cataluña	50 Transporte marítimo y por vías navegables interiores	Total	2019	96
09 Cataluña	495 Transporte por tubería	Total	2019	6
09 Cataluña	49 Transporte terrestre y por tubería	Total	2019	31.911
09 Cataluña	382 Tratamiento y eliminación de residuos	Total	2019	71
09 Cataluña	256 Tratamiento y revestimiento de metales; ingeniería mecánica por cuenta de terceros	Total	2019	1.757
09 Cataluña	383 Valorización	Total	2019	82
09 Cataluña	451 Venta de vehículos de motor	Total	2019	2.588
09 Cataluña	45 Venta y reparación de vehículos de motor y motocicletas	Total	2019	10.941
09 Cataluña	454 Venta, mantenimiento y reparación de motocicletas y de sus repuestos y accesorios	Total	2019	611
